이름,경도,위도
당현,127.06835362934224,37.642015187271795
노원역,127.06691634662512,37.65500523494821
마들,127.06361890367069,37.66458702
화랑,127.07459762082867,37.62256592
월계,127.05929106730188,37.63368623169549
상계1,127.05504718215914,37.67968125550613
